,授業科目名,学修の目的,学修内容,授業改善の工夫,成績評価方法と基準,履修上の注意,その他
10,論文執筆を戦略的に計画する（準備編）,※この授業は留学生向けの授業です。日本語を母語とする学生は履修できません。大学では，それぞれの専門分野において，自ら問題を設定し，情報・データを収集したうえで考察を加え，その内容を日本語で，論文やレポートとしてまとめていくことが求められます。ただしそのためには，適切な方法論に基づき，戦略的に準備を行っていくことが必要です。この授業では，日本語で論文やレポートを執筆していくために必要となる，基本的な考え方のトレーニングを行っていきます。さらに，学生自身が作成した論文アウトラインや論文そのものを相互に読み，批判的に評価し，かつ建設的なコメントを与え合うことで，自分なりの「論文観」を確立していくことを目指します。,・オリエンテーション，学生のニーズ調査・既存の論文の構成分析，構成モデルに基づく論文の要約・トゥールミン・モデルを用いた論理分析・小論文アウトライン作成・相互検討・小論文発表・相互検討,論文・レポートを読み，その概要把握・構造分析・論証の評価等の作業を，学生同士の協働作業によって進めていきます。それらの作業を通じて，論文・レポートを執筆するに当たって必要な基礎的技能を身につけていきます。,授業への参加状況（出席・小課題への回答等を含む）授業でのプレゼンテーション（学生同士の相互評価）・最終レポート,この授業を履修するには，日本語で書かれた学術論文を自力で読み進めることができる程度の日本語能力が必要です。S2タームに実施する「日本語上級：論文執筆のための論理的思考（実践編）」と連続して履修することを勧めますが，S1タームのこの授業だけを単独で履修することも可能です。S1ターム月曜1限に実施する「日本語上級：論文執筆のための論理的思考（準備編）」と同時に履修することはできません。,
11,ラテン語初級,辞書を使って独力でラテン語の簡単な文章が読めるように、基本的な文法事項を身につける。,第1回文字、発音、アクセント第2回名詞の第一・第二変化第3回前置詞、人称代名詞第4回未完了過去、未来第5回名詞の第三変化第6回完了、過去完了、未来完了第7回直説法受動相、指示代名詞第8回関係代名詞、名詞の第四・第五変化第9回目的分詞、完了受動分詞、直説法受動相完了第10回命令法、副詞第11回比較級、最上級第12回形式受動相動詞第13回絶対的奪格,最初にその日のポイントを解説し、例文を読んだ後、各課末尾の練習問題を割り当てる。,平常点と期末テストに基づいて評価する,必ず予習をしてくること。分からなくても続けること。,
12,記号論理入門－命題論理・一階述語論理の証明論・意味論と、一階理論の代表的諸事例,"記号論理の体系として現在最も標準的となっている、Ｇ・ゲンツェンが開発した「自然演繹（ＮＪ／ＮＫ）」を、初歩から丁寧に学び、実際の証明構成を行えるようにする。命題論理、一階述語論理と順を追って検討し,正規化・健全性・完全性など、メタ論理の基本的話題を学んだ後、実際的な数学的応用（公理的集合論，順序集合論の初歩など）をいくつか見た上で、形式的自然数論（ハイティング算術／ペアノ算術）に進み、数学的帰納法を含む証明構成を詳しく分析する。論理学、哲学、計算機科学に関心のある人、またより一般的に、数学の論理的構造をよく理解したい人にとって、様々に有用な事項や興味ある情報が提供されるだろう。",［注意］講義時間の短縮などのため、以下の授業計画に若干の変更が加わる可能性がありますが、詳しくは授業で説明します。（０）導入：記号論理の一般概念（第１回）（１）ＮＪ／ＮＫの命題論理の証明構成１－１連言・選言・含意の概念（第２回）１－２否定の概念－－ＮＪとＮＫの対比（第３回）１－３命題論理の代表的諸定理（第４回）１－４命題論理のモデル論的意味論(第５回)（２）ＮＪ／ＮＫの述語論理の証明構成２－１変項と量化の概念（第６回）２－２述語論理の代表的定理（第７回）２－３述語論理のモデル論的意味論（第８、９回）（３）ＮＪ／ＮＫベースの一階理論の具体的事例３－１公理的集合論の初歩（第10回）３－２順序集合論入門（第11回）３－３形式的自然数論－証明構成（第12回）３－４形式的自然数論－数学的帰納法（第13回）,教材をITC-LMSにuploadする。これらに即して、授業の場で重要な証明構成の事例を数多く取り上げ、解説する他、メタ論理についてもできるだけ厳密な証明を与え、詳しく解説する。,学期末のレポートによる。,後期の記号論理学IIの前提ともなるので、記号論理学IIの履修を考えている人は、できるだけ履修すること。,
13,メディカルケア3（運動器系の疾病・障害により、スポーツコース等での履修は不適当だが、個別に運動を許可された者が履修する）,週１回の授業を通じて1.身体および身体運動に関する知識を習得する。2.自らの身体運動を対象とする実験実習や実技実習を通じて、事物の本質的理解（肌でわかる・体感する）のための基礎技術を習得する。3.スポーツやトレーニングなどの文化的身体運動の実習による動きの改善・身体能力の向上を通じて、自己の身体の管理・操作技能を習得する。4.生涯教育としての心身の健康教育・運動習慣の基礎作りを行う。,第１回目種目選択（実施場所は９号館前の掲示またはITC-LMSを参照すること、オンラインとなる可能性もある）月3、火2、水2、木1、金2のいずれかでスポーツ・身体運動実習の種目選択に参加し、希望するメディカルケアコースの登録をする。出席できない（できなかった）場合は担当教員にメールで連絡する。第２回目以降各自の選択した曜限での授業（原則として対面授業だが、一部はオンライン授業となる可能性もある）,各自の状況に応じて、各自に合った運動を処方して行う。毎回日誌をつけて、自己の状況を確認する。,1出席この授業の意義は実際に身体を動かすことで、身体運動の科学的法則を認識するとともに、健康・体力・技能を増進し、またその方法を習得することにある。そこで出席（遅刻、早退、見学を含む）はきわめて重視される。2達成度各自が選択履修している授業について、学習達成度の評価を行う。3レポート毎回の授業後あるいは学期末にレポートを作成、提出させることがある。4その他授業中にどのような態度で参加し、どのように自己の役割を認識し、実行しているか、学習内容をどれだけ理解しているのか、等を評価する。,実習形式であり、また選択科目であることから、原則として授業は全て対面式で行う。したがって、対面で授業を受けられることが履修の条件である。ただし、ガイダンスなど実習でない部分についてはオンラインで実施する可能性もある。必ず健康診断を受けた上で実技授業に参加すること。対面授業に参加する際は、手洗いやマスク着用など、感染症対策を徹底すること。更衣室での密集・密接には十分注意し、必要以上の会話はしないこと。盗難が多いので貴重品の管理などには十分注意すること。体育館は土足、飲食禁止である。障害保険に加入することが望ましい。,
14,振動・波動論,音や光は我々が生存してゆく上で決定的に重要な情報を担い，音楽，美しい景色，絵画，写真と生活に喜びを与えてくれる．音と光は共に波動現象の典型例であるが，我々の知的興味を引き付ける振動・波動現象は身近なところに数多く存在する．たとえば，ブランコはどうして漕げるのだろうかとか，海の波はどうして波打ち際で砕けるのだろうかなど．また，建造物や製品の設計においても，振動・波動の影響は欠かせない．このように我々の日常と密接に関わっている振動・波動現象を，物理学の基本法則により根本的に理解することがこの講義の目的である．その内容は古典的な場の理論の初歩を含み，引き続き量子力学，場の量子論を学ぶ者にとっては必須なものでもある．,主な項目は以下の通りであるが，実際の内容や順序は教員によって多少の違いがあり、特に＊印のついた項目は省略される場合がある．1.序論2.1自由度系の振動・単振動・減衰振動・強制振動，共鳴，Q値＊パラメーター励振＊簡単な非線形振動3.連成振動・2自由度系・基準振動，うなり・N自由度系4.1次元の波動・弦，弾性体，気柱・縦波と横波・波動方程式・反射と透過＊波のエネルギー＊インピーダンス5.フーリエ級数，変換の方法・考え方，基本事項，線形性・波束・位相速度と群速度＊不確定性関係＊6.2，3次元の波＊波動方程式＊平面波＊球面波＊水の表面波＊反射と屈折＊干渉，回折,Zoomで画面共有で講義する。,期末試験と学期中に出すレポート課題の得点によって評価する。レポート課題はITC-LMSに掲載し、講義中に周知する。,特にありません。,
15,構造生命科学概論（アドバンスト理科IV）,我々ヒトは約2万種類の遺伝子を持っており、遺伝子によってコードされたタンパク質は驚くほど多様な機能を発揮する。例えば我々が眼で物を見ることができるのはロドプシンと呼ばれる膜タンパク質が光を受容し、その情報を細胞内に伝えるためであり、我々が記憶や情動といった複雑な脳機能を発揮するのは、元を辿ればカリウムイオンチャネルやナトリウムイオンチャネルといった膜タンパク質が適切なタイミングで特定のイオン種を細胞内外へ輸送するためである。しかし、タンパク質が「光を受容し、その情報を細胞内に伝える」とは一体どういうことだろうか。タンパク質が「適切なタイミングで特定のイオンだけを輸送する」とは、原子レベルで考えた時に一体何が起こっているのだろうか。化学的に見ると「20種類のアミノ酸が連なった鎖」に過ぎないタンパク質がこれだけ多彩な機能を示すのは、タンパク質がそのアミノ酸の種類や並び方によって特定の立体構造に折り畳まれ、その複雑な形に応じて機能を発揮するためである。タンパク質の複雑な機能を理解するためにはその形を理解することが肝要であり、それを可能としてくれるのがタンパク質立体構造解析であり、構造生物学（構造生命科学）である。本講義では、タンパク質立体構造解析の手法の中でも、その手法開発や関連研究について20以上のノーベル賞が送られているX線結晶構造解析、クライオ電子顕微鏡法に焦点を当て、その原理や実例を紹介する。さらには、タンパク質の構造から一体どういった情報を読み取ることができるのか、タンパク質の構造情報を用いることで一体何ができるようになるのか、タンパク質エンジニアリングや創薬などを例に交え、講義と簡単な演習を行う予定である。なお、受講者数を20名程度に制限するので、ガイダンス時に⽣命科学や生物物理への興味と学習意欲に関する調査を⾏う。その結果、1週間以内に、第⼆回以降の受講対象者の学⽣証番号をアドバンスト理科のホームページに掲載する。,・タンパク質とは何か・タンパク質のフォールディングと機能・X線結晶構造解析の原理・X線結晶構造解析の実際・クライオ電子顕微鏡の原理・クライオ電子顕微鏡の実際・構造情報に基づいたタンパク質エンジニアリングとは（実例を交えて）・構造情報に基づいた創薬とは（実例を交えて）,講義（一部演習）,レポートと発言点,アドバンスト理科の総合科目は、あらかじめ基礎学力と意欲の面で優秀な受講者の選抜を行うため、優3割ルールの適応外となっており、3割を超えて優を与える場合もあります。【以下教務課ご担当者様へ】Zoomによるオンライン授業を行います。,
16,アガサ・クリスティ『オリエント急行殺人事件』を原文で読む,＜目標＞英語で小説を読み切ることを目指します。＜概要＞原作を必ず手に入れて、読み進めて下さい。推理小説、英文学、イギリス文化に興味のある人を歓迎します。,質問にもとづいて内容を確認する、原作を読む、を１サイクルとして進みます。最終授業時までに、原作を読み終えるので、そのつもりで履修してください。おおまかな進度予定は以下の通り。数字は原作の章を意味する。1導入2PartOne123PartOne3454PartOne6785PartTwo1236PartTwo4567PartTwo7898PartTwo1011129PartTwo13141510PartThree12311PartThree45612PartThree78913学期末レポート作成のために,講義、演習形式。,学期末レポートをもとに、総合的に判断します。,積極的に原作を読み進めてください。,
17,国際政治学・国際関係論の理論を学ぶ,"本コースは、JohnBaylisetal.(eds.),TheGlobalizationofWorldPolitics(OxfordUniversityPress,2020)所収の国際政治理論に関する一部の章を教材として用い、その読解を行なっていく「リーディング」を主眼としたコースである。この作業を通じて本コースの受講者は、代表的な国際政治理論についての概要が説明できるようになるとともに、現代世界が直面している様々な国際政治上の問題・課題について、多角的な視点からアプローチできるようになる。また英語で記された国際問題についてのニュース報道、報告書、研究論文などを読み進めていくための基本的な語彙力・読解力が身に付いていく。",（本コースの初回授業日に指定されている４月１３日（火）の授業は、休講となります。したがって本コースの開始日は、４月１９日（月）です。なお休講した分の補講は、補講日のひとつである７月１９日（月）に行なうものとします。）Week1イントロダクション（本授業の概要説明、履修上の注意点など）Week2Realism(1)Week3Realism(2)Week4Realism(3)Week5LiberalInternationalism(1)Week6LiberalInternationalism(2)Week7LiberalInternationalism(3)Week8MarxismandInternationalRelations(1)Week9MarxismandInternationalRelations(2)Week10MarxismandInternationalRelations(3)Week11InternationalEthics(1)Week12InternationalEthics(2)Week13InternationalEthics(3),本コースでは、各文を一文ずつ細かに訳出していく、という仕方での読解は行なわない。各授業では、まず講師が教材に掲載されている一定の範囲の英文・内容に関連した複数の質問・課題を、全受講者に投げかける。その質問・課題への解はまず各受講者で準備してもらい、その上で３～４名程度のグループに分かれ、メンバー内でその解についての検討を行なってもらう。最後に、再び受講者全体で講師による解説も交えてその解を確認、それをもって、教材のその箇所の内容が全員理解できたものと見なす――これが、本コースにて行なわれるリーディングの手順である。なお、この作業は各授業回にて、３回前後繰り返される。,本コースでは、以下の３項目の合計点を基準に、各受講者の最終的な成績の評価が行なわれる。(1)平常点（20点満点）：授業への貢献度などに応じた評価項目。授業時において発言を求められた場合の対応、グループ内での話し合いにおける積極度、小テスト（下記）の受験回数などをベースに、本項目の評価は行なわれる。(2)小テスト（40点満点）：本コースでは、各授業（除くWeek1）の終了後に小テストを受験することが、必須課題として課せられる。本項目の評価は、計12回行なわれる本テストの合計点をもとに、それを０～40点の間に換算した形で行われる。その設問は、各授業回でカバーした教材の範囲に関連したものである（単語問題が主）。なお、講師が特別に許可を与えた場合を除いて、授業を欠席した回の小テストの点数は、たとえ受験をしても当該学生の成績の評価には反映されない。(3)学期末レポート（40点満点）：学期末の前後を提出期限とする、英文レポート（700～800語前後）の執筆。その内容や英文としての完成度などを判断基準に、本レポートの評価は行なわれる。,・本コースのZoomミーティングに参加するには、東京大学のアカウント（u-tokyo.ac.jpのアカウント）が必要です。・「教科書」に指定されているリーディング教材は、適宜ITC-LMS上にて配布されます。個人で購入を必要とする文献はありません。・各授業ではグループ・ワークが頻繁に課せられ、またグループを組むその相手も、毎回変動します。したがって本コースでは、あまりよく知らない他者ともコミュニケートでき、またお互いに協力し合える積極性が要求されていることを、十分に理解しておいて下さい。なお、本コースはリモート型のオンライン授業として行なわれるため、基本的に相手の顔が見えない中でのコミュニケーションが必要となることも、併せて承知しておくようにしましょう。・履修に際し、国際政治理論に関しての知識がまったくなくても、特に問題はありません。ただし国際政治理論について触れている邦語文献に自主的に目を通しておけば、授業での英文読解がスムーズに進み、その内容の理解にも大いに役立つでしょう。また現代世界が直面している様々な国際問題について、日常的に関心を持つ姿勢も、本コースの履修においてはたいへん重要になります。定期的に国際ニュースをチェックしたり、関連する文献やインターネットサイトに言語を問わず目を通すなどして、本コースで扱う内容を多角的に理解できるよう努めて下さい。,
18,"楽園はどこにある―MarcusB.Huish,HappyEnglandasPaintedbyHelenAllingham,R.W.S.(1903)を読む",あなたの楽園はどこにありますか。日本人の楽園はどこにあるのでしょう。イギリス人の楽園は村にあります。「愛すべき農村」のイメージ。都会と違って恐ろしいことは何も起きない、知らない者が侵入してくることもない、皆が皆をよく知っていて、親密な人間関係のなかで、多少の悶着も厄介ごとも、すべてユーモアと笑顔と、ゆるいキリスト教的モラルで乗り越えられていく、そういう居心地のいい楽園。そこで繰り返される生産のサイクル。春、夏、収穫、冬。今年も、来年も、いつまでも。いつかこんな薄汚れた都会を離れて、緑に囲まれたコテージに住み、そういう「本当に確実なもの、本当に大切なもの」を手に入れるんだ。都会に寓居するイギリス人はそうやって、永遠の楽園としてのカントリーライフを夢見ている。そんな「楽園」のイメージを、ヴィクトリア朝イギリスの画家、ヘレン・アリンガム(1848-1926）の水彩画が描いています。うっとりするような、はかない夢のような、イングランドの田園風景。今回、このクラスでテキストにするのは、そのアリンガムの絵をふんだんに掲載した、画集のようなエッセイ集のような、マーカス・ボーン・ヒューイッシュ(1843-1921)による1903年出版の本です。120年も前の、ヴィクトリア朝の格調高い英文ですので、少々読みにくいと感じる方もおいでかもしれません。文体もそうですし、内容的にも古いので、ある程度はウェブ検索などで調べながら読んでいかないと、うまく読解することはできません。授業で行うのは、ですから、そういったこと、つまり、テキストの精読、ということになります。テキストをきちんと精読するためには作法があり、それはどんな文章であろうと変わりません―現代英語の気楽な読み物だろうと、ヴィクトリア朝イングランドの流麗な文体だろうと、千年前に書かれた古英語の断片だろうと、同じです。この「作法」を、まあ、お伝えしたい、そういう授業です。,ZOOMを使った授業を行います。下記URLで、授業時間どおりにミーティングに参加してください。最初の２～３回は教員による解説、それ以降は皆さんにご参加いただきます。下記「授業の方法」をご参照ください。,いわゆる輪読です。つまり、事前に各自の分担箇所を決めておいて、授業中に順番に口頭で自分の分担箇所を訳していく。必要があれば教員が補足して、場合によっては解釈について議論する。1回の授業につき3～4人分進む見当なので、履修人数が多ければ1回、少なければ2回、担当がまわってくる勘定になります。最初の3～4回は教員がテキストの説明と解釈をします。その間に各人の担当部分を決めて、4～5週目くらいから担当者に順次訳して頂きます。各自、毎回の授業で扱う部分を事前に読んできてください。訳担当者の方にはZOOMの音声を通じて訳して頂くことになります。もしネットワークやPCの環境が整わず、それが難しいという場合は相談して頂ければ対応します。それから、ネットワーク障害などでミーティングに参加できなかったような場合を想定して、訳担当者は事前に、出来れば、ITC-LMSを通じて、担当箇所の日本語訳を提出しておいてください（提出場所を「課題」につくっておきます）。これは、履修上の義務とかではありません。可能なかぎりで結構です。ただ、訳を出しておいて頂ければ、ネットワークのせいで発表ができなかったような場合でも、後日また別の箇所の訳をお願いするなどの無駄な対応をせずにすむので、できればお願いしたいわけです。,授業中の和訳に対する評価(30%)、および学期末レポート（70%：2～3頁分の英文の和訳に訳注を付記したもの。詳細は授業中に）。,＜テキストについて＞まず、教科書とする本は、2020年度にも一部を扱いました。このクラスでは、まだ扱っていない、別の個所を読むことになります。ですが、すでに扱った部分で述べられている重要な情報に関しては、授業の最初に詳しくご説明しますし、また、本書は、画家アリンガムの絵について、著者ヒューイッシュが解説をしていく形式ですので、途中から読んでもそれほど問題はないと思われます。ですので、既読部分を事前に読んでおいて頂いたりする必要はありません。テキストは、ウェブ上で無料公開されていて、ProjectGutenbergやInternetArchiveからダウンロードできます。https://www.gutenberg.org/*****https://archive.org/*****実は、このふたつ、同じ本なのですが、版が違っていて、内容が微妙に違う箇所があります。Gutenberg版の方が後になって出された改訂版で、多少、内容が変えられているのです。このクラスでは、基本的にはInternetArchive版を読むことにします。InternetArchive版の一部に、皆さんの分担箇所となる場所の番号をふって、PDFファイルにしたものを、ITC-LMSにアップロードしますので、授業ではそちらも使ってください（ファイルサイズを小さくするために画像は省いてありますので、画像は上記ウェブ版で確認してください）。,
19,プロフェッショナルのための共通語としての英語CommunicatinginEnglishasProfessionals,プロフェッショナルとして、将来にわたって世界の人と英語を使って協働できるようになることを目標に、実践的な英語使用の考え方とスキルを学びます。プロフェッショナルとは、研究・専門職、ビジネス、公務員、国際協力など、多様なフィールドで、高度な専門性をもって仕事をする人を想定しています。英語を多様な文化・国籍をもった人とコミュニケーションする共通語として使うことをイメージしながら、１）グローバル社会の英語の役割、２）プロフェッショナルとして英語を使うための基本的な考え方とルール、そして３）英語を将来にわたって長期的に学び、使っていくための英語学習方法、の３点を学ぶことを目指します。授業では、ケースやタスクをもとに実際に英語を使い、国際協働のための英語の表現や話し方を練習し、実社会で英語を使う土台となる基本的スキルを習得します。英語のコミュニケーションに重要なリスニング力の強化を、授業外学習で自律的に行います。,"将来プロフェッショナルとして英語を使う際に必要なスキルを入門的に広く学ぶため、次の４つの大きなテーマを設けます。１）Networking：英語を学ぶグローバルな背景を考えつつ、英語を通して人間関係を築く,2）Presentation:英語プレゼンテーションの基本ルールと効果的なプレゼンのやり方を、実際に短い英語プレゼンを作りながら学び、自分の考えを論理的に説得力をもって伝えられるようになる、３）Meeting：与えられたケースについてグループで問題解決のアイディアを交換しまとめる話し合いをし、最終成果をグループでプレゼンすることで、英語Meetingに参加・リードをするルールを学び、英語で協働できるようになる、４）Negotiation：タスクを使って英語で簡単な交渉をすることで、英語の交渉の基本的な考え方を知る。授業の活動は、２）Presentationと３）Meetingに焦点をあて、１）と４）は授業の多様な活動の中に織り込んでいきます。L1イントロダクション・Networking1異文化の場で人間関係を築くL2Presentation1自分の考えを伝える基本ルールL3Presentation2自分の考えに納得してもらう効果的な方法L4Presentation3学生による個人プレゼンテーション・リハーサルL5Meeting1英語の会議を考える・ケースL6Meeting2英語の会議で自分の意見を言うL7Meeting3英語の会議で多様な意見を交換・評価するL8Meeting4英語の会議でグループの合意を作りあげるL9Meeting5グループプレゼンテーションL10Negotiation1英語の交渉の基本的考え方L11期末個人プレゼン・リハーサル１L12期末個人プレゼン・リハーサル２L13Negotiation２・全体のまとめ",基本的に、GoogleClassroom、Zoomなどを授業の中心的なツールとして使います。Presentationは基本ルールをグループ練習をしながら学び、その成果として、中間と期末に短い個人プレゼンテーションをします。個人プレゼンテーションの提出にあたっては、小さいグループでのZoomでのリハーサルを行い、クラスメートとの学び合いの中で英語プレゼンをBrushUpする要領を会得します。Meetingは、小さいグループにわかれ、ChatやZoomMeetingで自律的に英語でコミュニケーションをしながら、意見の交換・まとめをし、グループプレゼンテーションで成果を発表します。授業は、中・高から学んできた「英語の知識」を応用し、国際的な英語のコミュニケーションで使える実践的スキルにすることを意図し、そのために以下の方針を取り入れます。タスクベース：授業ごとにテーマを定めて英語を使うルール・表現を学習します。講義は最小限とし、多様なタスク（簡単なケースなどの課題）を、英語のコミュニケーションで解決する経験を通して学生が自律的に学びます。タスクには「正解」はありません。学生には、多様な解決の可能性を自分で考え、他者と意見交換・合意形成し、成果を達成することで、自分のニーズにあわせた英語の「使い方」を習得することを期待します。オーラル中心：特に英語の口頭でのコミュニケーションに焦点をあてます。オンライン授業の特性と、世界のコミュニケーションがオンライン化する中での変化を反映し、Zoomに加え、チャットを積極的に取り入れます。「多聴」の重視：英語の会話を成立させるための基本として重要なListening力の伸長をめざし「多聴」を授業外の課題とし、その努力を評価に反映します。応用言語学の成果を応用：「共通語としての英語」の概念、研究成果、実践等にもとづき、多様な異文化を意識した、わかりやすく、ノン・ネイティブが実践できる英語のコミュニケーションをめざします。授業方法は、応用言語学、第二言語習得、学習理論などを援用して計画します。,基本的には、2回の個人英語プレゼンを重視し、この評価を成績の50％程度に反映する予定です。個人プレゼンは、定められたテーマについて、3分程度のわかりやすいプレゼンテーションにまとめ、PowerPoint等を使って英語で行います。この評価は、単に流暢な英語で話すことより、英語で理論的に説得力のある構成を作ることを重視します。また、授業で学ぶ英語プレゼンテーションの基本的なスキルを応用しているか、わかりやすい英語を使っているかを評価対象とします。個人プレゼンは録画提出したものを評価対象としますが、提出前に小さいグループでプレゼンを練習し、改善点等を相互に提案します。グループでのMeetingの活動の成果は、15％程度に反映されます。残りの35％は、課外でのリスニング学習をまとめたレポート、授業内のタスクなど、個人の学習努力を評価の対象とします。,この授業では、オンライン授業の形態で可能な限り、ペアやグループでのスピーキングやチャットの練習を行います。そのため、学生どうしで協力的しながら、積極的に英語でコミュニケーションをすることが必要になります。授業では、積極的に英語で話し、他の学生と英語で意見を交換してください。授業外では日常的に英語を聴くことを課題とし、そのためにインターネットなどで自分にあったコンテンツを探索し、繰り返し聴くことが求められます。,
